family_id	family_label	family_type	member_count	occurrence_count	sample_raw_references	likely_contains_translation	review_status	notes
fam-raw-ba-81	BA-81	unclear	1	1	BA-81	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-82	BA-82	unclear	1	1	BA-82	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-83	BA-83	unclear	1	1	BA-83	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-85	BA-85	unclear	1	1	BA-85	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-86	BA-86	unclear	1	1	BA-86	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-88	BA-88	unclear	1	1	BA-88	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-89	BA-89	unclear	1	1	BA-89	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-90	BA-90	unclear	1	1	BA-90	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-93	BA-93	unclear	1	1	BA-93	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-97-492	BA-97 & 492	unclear	1	1	BA-97 & 492	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-98	BA-98	unclear	1	1	BA-98	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-99	BA-99	unclear	1	1	BA-99	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-ba-bed-b-635-2	BA BED B 635-2	unclear	1	1	BA BED B 635-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bed-a	BED A	unclear	1	1	BED A	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-183-184	BM1-183-184	unclear	1	1	BM1-183-184	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-184	BM1-184	unclear	1	1	BM1-184	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-245	BM1-245	unclear	1	1	BM1-245	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-250	BM1-250,	unclear	1	1	BM1-250,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-262-270	BM1-262+270	unclear	1	1	BM1-262+270	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-270-279	BM1-270 + 279	unclear	1	1	BM1-270 + 279	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-351-352	BM1-351-352	unclear	1	1	BM1-351-352	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-380	BM1-380	unclear	1	1	BM1-380	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-381	BM1-381	unclear	1	1	BM1-381	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-420	BM1-420	unclear	1	1	BM1-420	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-72	BM1-72	unclear	1	1	BM1-72	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1-80	BM1-80	unclear	1	1	BM1-80	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm1184	BM1184	unclear	1	1	BM1184	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm2-558	BM2 -558	unclear	1	1	BM2 -558	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm2-760	BM2-760	unclear	1	1	BM2-760	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm2-768	BM2-768	unclear	1	1	BM2-768	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-bm2-830-838	BM2-830, 838	unclear	1	1	BM2-830, 838	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-co-pies-list-225	co pies List 225	unclear	1	1	co pies List 225	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-copies-list-212	copies: List 212	unclear	1	1	copies: List 212	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-copies-list-217	copies List 217	unclear	1	1	copies List 217	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-copies-list-402-second-inscr	copies List 402 (second inscr.)	unclear	1	1	copies List 402 (second inscr.)	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-cp-a-first-part	cp. A, p. 17 (first part)	unclear	1	1	cp. A, p. 17 (first part)	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-duroiselle-arasi-1912-hledaung-inscr	Duroiselle, ARASI 1912, p. 149-51 (Hledaung inscr.)	unclear	1	1	Duroiselle, ARASI 1912, p. 149-51 (Hledaung inscr…	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-frasch-coastal-peripheries	Frasch, “Coastal Peripheries”, p. 74	unclear	1	1	Frasch, “Coastal Peripheries”, p. 74	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-frasch-mhrj-1998	Frasch, MHRJ 1998, p. 23-37	unclear	1	1	Frasch, MHRJ 1998, p. 23-37	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-frasch-pagan	Frasch, Pagan, p. 102-103	unclear	1	1	Frasch, Pagan, p. 102-103	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-hla-thamein-bagan-hket	Hla Thamein, Bagan-hket, p. 113	unclear	1	1	Hla Thamein, Bagan-hket, p. 113	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-htupayon1	Htupayon1 p.249,	unclear	1	1	Htupayon1 p.249,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-in-situ	in situ	unclear	1	1	in situ	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-1-bed-b-493-1	iob1 1 bed b 493 1	unclear	1	1	IOB1-1 BED B 493-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-10-a-bed-b-552-1	iob1 10 a bed b 552 1	unclear	1	1	IOB1-10/a BED B 552-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-10-b	IOB1-10/b	unclear	1	1	IOB1-10/b	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-100-a-bed-b-597-10	iob1 100 a bed b 597 10	unclear	1	1	IOB1-100/a BED B 597-10	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-100-b-bed-b-599-2	iob1 100 b bed b 599 2	unclear	1	1	IOB1-100/b BED B 599-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-101-bed-b-599-3	iob1 101 bed b 599 3	unclear	1	1	IOB1-101 BED B 599-3	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-102-bed-b-602-1	iob1 102 bed b 602 1	unclear	1	1	IOB1-102 BED B 602-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-103-bed-b-600-8	iob1 103 bed b 600 8	unclear	1	1	IOB1-103 BED B 600-8	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-104	IOB1-104	unclear	1	1	IOB1-104	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-105-a-bed-b-599-4	iob1 105 a bed b 599 4	unclear	1	1	IOB1-105/a BED B 599-4	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-106-bed-b-509-1	iob1 106 bed b 509 1	unclear	1	1	IOB1-106 BED B 509-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-107	IOB1-107	unclear	1	1	IOB1-107	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-108-a-bed-b-567-6	iob1 108 a bed b 567 6	unclear	1	1	IOB1-108/a BED B 567-6	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-108-b-bed-b-585-2	iob1 108 b bed b 585 2	unclear	1	1	IOB1-108/b BED B 585-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-109-a-bed-b-598-7	iob1 109 a bed b 598 7	unclear	1	1	IOB1-109/a BED B 598-7	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-109-b-bed-b-596-2	iob1 109 b bed b 596 2	unclear	1	1	IOB1-109/b BED B 596-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-11-bed-b-553-1	iob1 11 bed b 553 1	unclear	1	1	IOB1-11 BED B 553-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-118-b-bed-b-579-1	iob1 118 b bed b 579 1	unclear	1	1	IOB1-118/b BED B 579-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-12-bed-b-554-1	iob1 12 bed b 554 1	unclear	1	1	IOB1-12 BED B 554-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-14-bed-b-558-1	iob1 14 bed b 558 1	unclear	1	1	IOB1-14 BED B 558-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-15	IOB1-15	unclear	1	1	IOB1-15	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-16	IOB1-16	unclear	1	1	IOB1-16	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-17	IOB1-17	unclear	1	1	IOB1-17	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-18	IOB1-18	unclear	1	1	IOB1-18	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-19-a-bed-b-560-1	iob1 19 a bed b 560 1	unclear	1	1	IOB1-19/a, BED B 560-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-2	IOB1-2	unclear	1	1	IOB1-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-20-a	IOB1-20/a,	unclear	1	1	IOB1-20/a,	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-21-bed-b-560-4	iob1 21 bed b 560 4	unclear	1	1	IOB1-21 BED B 560-4	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-22-bed-b-563-2	iob1 22 bed b 563 2	unclear	1	1	IOB1-22 BED B 563-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-23	IOB1-23	unclear	1	1	IOB1-23	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-24-bed-b-564-1	iob1 24 bed b 564 1	unclear	1	1	IOB1-24 BED B 564-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-25-bed-a	IOB1-25 BED A	unclear	1	1	IOB1-25 BED A	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-26-bed-b-600-7	iob1 26 bed b 600 7	unclear	1	1	IOB1-26 BED B 600-7	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-28-a-bed-b-568-1	iob1 28 a bed b 568 1	unclear	1	1	IOB1-28/a BED B 568-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-28-b	IOB1-28/b	unclear	1	1	IOB1-28/b	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-29-bed-b-568-2	iob1 29 bed b 568 2	unclear	1	1	IOB1-29 BED B 568-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-3-bed-b-512-2	iob1 3 bed b 512 2	unclear	1	1	IOB1-3 BED B 512-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-3-bed-b-550-1	iob1 3 bed b 550 1	unclear	1	1	IOB1-3 BED B 550-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-31-bed-b-593-1	iob1 31 bed b 593 1	unclear	1	1	IOB1-31 BED B 593-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-32-33-bed-b-570-2	iob1 32 33 bed b 570 2	unclear	1	1	IOB1-32, 33 BED B 570-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-32-bed-b-570-1	iob1 32 bed b 570 1	unclear	1	1	IOB1-32 BED B 570-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-33	IOB1-33	unclear	1	1	IOB1-33	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-35	IOB1-35	unclear	1	1	IOB1-35	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-36-bed-b-574-1	iob1 36 bed b 574 1	unclear	1	1	IOB1-36 BED B 574-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-37-bed-574-2	IOB1-37 BED 574-2	unclear	1	1	IOB1-37 BED 574-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-38-a	IOB1-38/a	unclear	1	1	IOB1-38/a	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-38-b-bed-b-573-4	iob1 38 b bed b 573 4	unclear	1	1	IOB1-38/b BED B 573-4	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-39-bed-b-575-1	iob1 39 bed b 575 1	unclear	1	1	IOB1-39 BED B 575-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-4-bed-b-527-1	iob1 4 bed b 527 1	unclear	1	1	IOB1-4 BED B 527-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-40	IOB1-40	unclear	1	1	IOB1-40	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-41-bed-b-578-1	iob1 41 bed b 578 1	unclear	1	1	IOB1-41 BED B 578-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-42-bed-b-578-2	iob1 42 bed b 578 2	unclear	1	1	IOB1-42 BED B 578-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-43	IOB1-43	unclear	1	1	IOB1-43	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-44-a-bed-b-578-3	iob1 44 a bed b 578 3	unclear	1	1	IOB1-44/a BED B 578-3	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-45-bed-b-581-2	iob1 45 bed b 581 2	unclear	1	1	IOB1-45 BED B 581-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-46-bed-b-586-6	iob1 46 bed b 586 6	unclear	1	1	IOB1-46 BED B 586-6	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-47	IOB1-47	unclear	1	1	IOB1-47	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-48-bed-b-582-1	iob1 48 bed b 582 1	unclear	1	1	IOB1-48 BED B 582-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-49	IOB1-49	unclear	1	1	IOB1-49	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-5	IOB1-5	unclear	1	1	IOB1-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-50-b	IOB1-50 -b	unclear	1	1	IOB1-50 -b	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-51-bed-b-585-3	iob1 51 bed b 585 3	unclear	1	1	IOB1-51 BED B 585-3	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-53-bed-b-586-5	iob1 53 bed b 586 5	unclear	1	1	IOB1-53 BED B 586-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-54-587-bed-b-586-10	iob1 54 587 bed b 586 10	unclear	1	1	IOB1-54 587 BED B 586-10	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-55-a-bed-b-587-5	iob1 55 a bed b 587 5	unclear	1	1	IOB1-55/a BED B 587-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-55-b-bed-b-599-1	iob1 55 b bed b 599 1	unclear	1	1	IOB1-55/b BED B 599-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-56-a	IOB1-56/a	unclear	1	1	IOB1-56/a	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-56-b-bed-b-577-2	iob1 56 b bed b 577 2	unclear	1	1	IOB1-56/b BED B 577-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-56-b-bed-b-587-6	iob1 56 b bed b 587 6	unclear	1	1	IOB1-56/b BED B 587-6	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-57-a-iob5-563-b-bed-b-588-5	iob1 57 a iob5 563 b bed b 588 5	unclear	1	1	IOB1-57/a & IOB5-563/b BED B 588-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-57-b-bed-b-588-1	iob1 57 b bed b 588 1	unclear	1	1	IOB1-57/b BED B 588-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-58	IOB1-58	unclear	1	1	IOB1-58	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-59-bed-b-561-1-b-509-2	iob1 59 bed b 561 1 b 509 2	unclear	1	1	IOB1-59 BED B 561-1 & B 509-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-6-bed-b-541-1	iob1 6 bed b 541 1	unclear	1	1	IOB1-6 BED B 541-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-60-a-bed-b-591-2	iob1 60 a bed b 591 2	unclear	1	1	IOB1-60/a BED B 591-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-60-b	IOB1-60/b	unclear	1	1	IOB1-60/b	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-61-bed-b-591-3	iob1 61 bed b 591 3	unclear	1	1	IOB1-61 BED B 591-3	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-62-bed-b-591-7	iob1 62 bed b 591 7	unclear	1	1	IOB1-62 BED B 591-7	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-63-a-b-bed-a	iob1 63 a b bed a	unclear	1	1	IOB1-63/a-b BED A	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-64-bed-b-585-1	iob1 64 bed b 585 1	unclear	1	1	IOB1-64 BED B 585-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-65-a-bed-b-592-4	iob1 65 a bed b 592 4	unclear	1	1	IOB1-65/a BED B 592-4	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-65-b	IOB1-65/b	unclear	1	1	IOB1-65/b	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-66	IOB1-66	unclear	1	1	IOB1-66	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-67-bed-b-577-3	iob1 67 bed b 577 3	unclear	1	1	IOB1-67, BED B 577-3	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-68-bed-b-595-1	iob1 68 bed b 595 1	unclear	1	1	IOB1-68 BED B 595-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-69-bed-b-593-2	iob1 69 bed b 593 2	unclear	1	1	IOB1-69 BED B 593-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-7-bed-b-543-1	iob1 7 bed b 543 1	unclear	1	1	IOB1-7 BED B 543-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-70-bed-b-595-2	iob1 70 bed b 595 2	unclear	1	1	IOB1-70 BED B 595-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-71-bed-b-595-6	iob1 71 bed b 595 6	unclear	1	1	IOB1-71 BED B 595-6	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-72	IOB1-72	unclear	1	1	IOB1-72	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-73-bed-b-585-4	iob1 73 bed b 585 4	unclear	1	1	IOB1-73 BED B 585-4	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-74-bed-b-585-5	iob1 74 bed b 585 5	unclear	1	1	IOB1-74 BED B 585-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-75-a-bed-b-587-3	iob1 75 a bed b 587 3	unclear	1	1	IOB1-75/a BED B 587-3	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-75-b-bed-b-586-1	iob1 75 b bed b 586 1	unclear	1	1	IOB1-75/b BED B 586-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-76	IOB1-76	unclear	1	1	IOB1-76	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-77	IOB1-77	unclear	1	1	IOB1-77	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-78-a	IOB1 78/a	unclear	1	1	IOB1 78/a	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-78-b-bed-b-595-3	iob1 78 b bed b 595 3	unclear	1	1	IOB1-78/b BED B 595-3	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-79-a	IOB1-79/a	unclear	1	1	IOB1-79/a	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-79-b-bed-b-595-4	iob1 79 b bed b 595 4	unclear	1	1	IOB1-79/b BED B 595-4	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-8-a-bed-b-544-1	iob1 8 a bed b 544 1	unclear	1	1	IOB1-8/a BED B 544-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-8-bed-b-597-9	iob1 8 bed b 597 9	unclear	1	1	IOB1--8 BED B 597-9	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-80-bed-b-589-2	iob1 80 bed b 589 2	unclear	1	1	IOB1-80 BED B 589-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-81	IOB1-81	unclear	1	1	IOB1-81	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-82-a-bed-b-589-1	iob1 82 a bed b 589 1	unclear	1	1	IOB1-82/a BED B 589-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-82-b	IOB1-82/b	unclear	1	1	IOB1-82/b	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-84-bed-b-571-2	iob1 84 bed b 571 2	unclear	1	1	IOB1-84 BED B 571-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-86-bed-b-597-5	iob1 86 bed b 597 5	unclear	1	1	IOB1-86 BED B 597-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-87	IOB1-87	unclear	1	1	IOB1-87	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-89	IOB1-89	unclear	1	1	IOB1-89	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-9-a-bed-b-555-1	iob1 9 a bed b 555 1	unclear	1	1	IOB1-9/a BED B 555-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-91-n-48-bed-b-598-2	iob1 91 n 48 bed b 598 2	unclear	1	1	IOB1-91 n°48 BED B 598-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-92	IOB1-92	unclear	1	1	IOB1-92	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-93-bed-b-598-5	iob1 93 bed b 598 5	unclear	1	1	IOB1-93 BED B 598-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-94-a-bed-b-598-4	iob1 94 a bed b 598 4	unclear	1	1	IOB1-94/a BED B 598-4	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-94-b	IOB1-94/b	unclear	1	1	IOB1-94/b	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-95-a-bed-b-598-8	iob1 95 a bed b 598 8	unclear	1	1	IOB1-95/a BED B 598-8	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-96-bed-b-598-9	iob1 96 bed b 598 9	unclear	1	1	IOB1-96 BED B 598-9	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-97	IOB1-97	unclear	1	1	IOB1-97	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob1-c-b-bed-b-546-1	iob1 c b bed b 546 1	unclear	1	1	IOB1-c/b BED B 546-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob183-bed-b-591-5	IOB183 BED B 591-5	unclear	1	1	IOB183 BED B 591-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-110-bed-b-443-1	iob2 110 bed b 443 1	unclear	1	1	IOB2-110 BED B 443-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-111-bed-b-482-1	iob2 111 bed b 482 1	unclear	1	1	IOB2-111 BED B 482-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-112-bed-b-482-2	iob2 112 bed b 482 2	unclear	1	1	IOB2-112 BED B 482-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-113-bed-b-537-6	iob2 113 bed b 537 6	unclear	1	1	IOB2-113 BED B 537-6	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-114-a-bed-b-537-1	iob2 114 a bed b 537 1	unclear	1	1	IOB2 114/a BED B 537-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-114-b-bed-b-548-1	iob2 114 b bed b 548 1	unclear	1	1	IOB2-114/b BED B 548-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-115-bed-b-549-1	iob2 115 bed b 549 1	unclear	1	1	IOB2-115 BED B 549-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-116-bed-b-559-1	iob2 116 bed b 559 1	unclear	1	1	IOB2-116 BED B 559-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-117-a	IOB2-117/a	unclear	1	1	IOB2-117/a	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-117-b-bed-b-560-5	iob2 117 b bed b 560 5	unclear	1	1	IOB2-117/b BED B 560-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-118-a-bed-b-570-2	iob2 118 a bed b 570 2	unclear	1	1	IOB2-118/a BED B 570-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-119-a-bed-b-577-5	iob2 119 a bed b 577 5	unclear	1	1	IOB2-119/a BED B 577-5	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-119-b-bed-b-591-8	iob2 119 b bed b 591 8	unclear	1	1	IOB2-119/b BED B 591-8	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-120-a-bed-b-579-8	iob2 120 a bed b 579 8	unclear	1	1	IOB2-120/a BED B 579-8	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-120-b	IOB2-120/b	unclear	1	1	IOB2-120/b	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-121-a-bed-b-581-1	iob2 121 a bed b 581 1	unclear	1	1	IOB2-121/a BED B 581-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-121-b-bed-b-586-2	iob2 121 b bed b 586 2	unclear	1	1	IOB2-121/b BED B 586-2	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-122-a-bed-b-587-1	iob2 122 a bed b 587 1	unclear	1	1	IOB2-122/a BED B 587-1	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-122-b-bed-b-587-8	iob2 122 b bed b 587 8	unclear	1	1	IOB2-122/b BED B 587-8	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-123-bed-b-587-4	iob2 123 bed b 587 4	unclear	1	1	IOB2-123 BED B 587-4	unknown	unreviewed	No stronger conservative family signal was detected.
fam-raw-iob2-125-a-bed-b-591-1	iob2 125 a bed b 591 1	unclear	1	1	IOB2-125/a BED B 591-1	unknown	unreviewed	No stronger conservative family signal was detected.
