work_candidate_id	family_id	provisional_short_label	author_original	author_normalized	year	title_original	title_normalized	publication_details	language	script	translation_relevance	evidence_raw_references	review_status	notes
work-raw-iob1-57-a-iob5-563-b-bed-b-588-5	fam-raw-iob1-57-a-iob5-563-b-bed-b-588-5	iob1 57 a iob5 563 b bed b 588 5								latin	unknown	IOB1-57/a & IOB5-563/b BED B 588-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-57-b-bed-b-588-1	fam-raw-iob1-57-b-bed-b-588-1	iob1 57 b bed b 588 1								latin	unknown	IOB1-57/b BED B 588-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-58	fam-raw-iob1-58	IOB1-58								latin	unknown	IOB1-58	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-59-bed-b-561-1-b-509-2	fam-raw-iob1-59-bed-b-561-1-b-509-2	iob1 59 bed b 561 1 b 509 2								latin	unknown	IOB1-59 BED B 561-1 & B 509-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-6-bed-b-541-1	fam-raw-iob1-6-bed-b-541-1	iob1 6 bed b 541 1								latin	unknown	IOB1-6 BED B 541-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-60-a-bed-b-591-2	fam-raw-iob1-60-a-bed-b-591-2	iob1 60 a bed b 591 2								latin	unknown	IOB1-60/a BED B 591-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-60-b	fam-raw-iob1-60-b	IOB1-60/b								latin	unknown	IOB1-60/b	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-61-bed-b-591-3	fam-raw-iob1-61-bed-b-591-3	iob1 61 bed b 591 3								latin	unknown	IOB1-61 BED B 591-3	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-62-bed-b-591-7	fam-raw-iob1-62-bed-b-591-7	iob1 62 bed b 591 7								latin	unknown	IOB1-62 BED B 591-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-63-a-b-bed-a	fam-raw-iob1-63-a-b-bed-a	iob1 63 a b bed a								latin	unknown	IOB1-63/a-b BED A	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-64-bed-b-585-1	fam-raw-iob1-64-bed-b-585-1	iob1 64 bed b 585 1								latin	unknown	IOB1-64 BED B 585-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-65-a-bed-b-592-4	fam-raw-iob1-65-a-bed-b-592-4	iob1 65 a bed b 592 4								latin	unknown	IOB1-65/a BED B 592-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-65-b	fam-raw-iob1-65-b	IOB1-65/b								latin	unknown	IOB1-65/b	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-66	fam-raw-iob1-66	IOB1-66								latin	unknown	IOB1-66	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-67-bed-b-577-3	fam-raw-iob1-67-bed-b-577-3	iob1 67 bed b 577 3								latin	unknown	IOB1-67, BED B 577-3	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-68-bed-b-595-1	fam-raw-iob1-68-bed-b-595-1	iob1 68 bed b 595 1								latin	unknown	IOB1-68 BED B 595-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-69-bed-b-593-2	fam-raw-iob1-69-bed-b-593-2	iob1 69 bed b 593 2								latin	unknown	IOB1-69 BED B 593-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-7-bed-b-543-1	fam-raw-iob1-7-bed-b-543-1	iob1 7 bed b 543 1								latin	unknown	IOB1-7 BED B 543-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-70-bed-b-595-2	fam-raw-iob1-70-bed-b-595-2	iob1 70 bed b 595 2								latin	unknown	IOB1-70 BED B 595-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-71-bed-b-595-6	fam-raw-iob1-71-bed-b-595-6	iob1 71 bed b 595 6								latin	unknown	IOB1-71 BED B 595-6	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-72	fam-raw-iob1-72	IOB1-72								latin	unknown	IOB1-72	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-73-bed-b-585-4	fam-raw-iob1-73-bed-b-585-4	iob1 73 bed b 585 4								latin	unknown	IOB1-73 BED B 585-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-74-bed-b-585-5	fam-raw-iob1-74-bed-b-585-5	iob1 74 bed b 585 5								latin	unknown	IOB1-74 BED B 585-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-75-a-bed-b-587-3	fam-raw-iob1-75-a-bed-b-587-3	iob1 75 a bed b 587 3								latin	unknown	IOB1-75/a BED B 587-3	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-75-b-bed-b-586-1	fam-raw-iob1-75-b-bed-b-586-1	iob1 75 b bed b 586 1								latin	unknown	IOB1-75/b BED B 586-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-76	fam-raw-iob1-76	IOB1-76								latin	unknown	IOB1-76	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-77	fam-raw-iob1-77	IOB1-77								latin	unknown	IOB1-77	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-78-a	fam-raw-iob1-78-a	IOB1 78/a								latin	unknown	IOB1 78/a	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-78-b-bed-b-595-3	fam-raw-iob1-78-b-bed-b-595-3	iob1 78 b bed b 595 3								latin	unknown	IOB1-78/b BED B 595-3	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-79-a	fam-raw-iob1-79-a	IOB1-79/a								latin	unknown	IOB1-79/a	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-79-b-bed-b-595-4	fam-raw-iob1-79-b-bed-b-595-4	iob1 79 b bed b 595 4								latin	unknown	IOB1-79/b BED B 595-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-8-a-bed-b-544-1	fam-raw-iob1-8-a-bed-b-544-1	iob1 8 a bed b 544 1								latin	unknown	IOB1-8/a BED B 544-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-8-bed-b-597-9	fam-raw-iob1-8-bed-b-597-9	iob1 8 bed b 597 9								latin	unknown	IOB1--8 BED B 597-9	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-80-bed-b-589-2	fam-raw-iob1-80-bed-b-589-2	iob1 80 bed b 589 2								latin	unknown	IOB1-80 BED B 589-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-81	fam-raw-iob1-81	IOB1-81								latin	unknown	IOB1-81	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-82-a-bed-b-589-1	fam-raw-iob1-82-a-bed-b-589-1	iob1 82 a bed b 589 1								latin	unknown	IOB1-82/a BED B 589-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-82-b	fam-raw-iob1-82-b	IOB1-82/b								latin	unknown	IOB1-82/b	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-84-bed-b-571-2	fam-raw-iob1-84-bed-b-571-2	iob1 84 bed b 571 2								latin	unknown	IOB1-84 BED B 571-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-86-bed-b-597-5	fam-raw-iob1-86-bed-b-597-5	iob1 86 bed b 597 5								latin	unknown	IOB1-86 BED B 597-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-87	fam-raw-iob1-87	IOB1-87								latin	unknown	IOB1-87	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-89	fam-raw-iob1-89	IOB1-89								latin	unknown	IOB1-89	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-9-a-bed-b-555-1	fam-raw-iob1-9-a-bed-b-555-1	iob1 9 a bed b 555 1								latin	unknown	IOB1-9/a BED B 555-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-91-n-48-bed-b-598-2	fam-raw-iob1-91-n-48-bed-b-598-2	iob1 91 n 48 bed b 598 2								latin	unknown	IOB1-91 n°48 BED B 598-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-92	fam-raw-iob1-92	IOB1-92								latin	unknown	IOB1-92	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-93-bed-b-598-5	fam-raw-iob1-93-bed-b-598-5	iob1 93 bed b 598 5								latin	unknown	IOB1-93 BED B 598-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-94-a-bed-b-598-4	fam-raw-iob1-94-a-bed-b-598-4	iob1 94 a bed b 598 4								latin	unknown	IOB1-94/a BED B 598-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-94-b	fam-raw-iob1-94-b	IOB1-94/b								latin	unknown	IOB1-94/b	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-95-a-bed-b-598-8	fam-raw-iob1-95-a-bed-b-598-8	iob1 95 a bed b 598 8								latin	unknown	IOB1-95/a BED B 598-8	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-96-bed-b-598-9	fam-raw-iob1-96-bed-b-598-9	iob1 96 bed b 598 9								latin	unknown	IOB1-96 BED B 598-9	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-97	fam-raw-iob1-97	IOB1-97								latin	unknown	IOB1-97	unreviewed	No stronger conservative family signal was detected.
work-raw-iob1-c-b-bed-b-546-1	fam-raw-iob1-c-b-bed-b-546-1	iob1 c b bed b 546 1								latin	unknown	IOB1-c/b BED B 546-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob183-bed-b-591-5	fam-raw-iob183-bed-b-591-5	IOB183 BED B 591-5								latin	unknown	IOB183 BED B 591-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-110-bed-b-443-1	fam-raw-iob2-110-bed-b-443-1	iob2 110 bed b 443 1								latin	unknown	IOB2-110 BED B 443-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-111-bed-b-482-1	fam-raw-iob2-111-bed-b-482-1	iob2 111 bed b 482 1								latin	unknown	IOB2-111 BED B 482-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-112-bed-b-482-2	fam-raw-iob2-112-bed-b-482-2	iob2 112 bed b 482 2								latin	unknown	IOB2-112 BED B 482-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-113-bed-b-537-6	fam-raw-iob2-113-bed-b-537-6	iob2 113 bed b 537 6								latin	unknown	IOB2-113 BED B 537-6	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-114-a-bed-b-537-1	fam-raw-iob2-114-a-bed-b-537-1	iob2 114 a bed b 537 1								latin	unknown	IOB2 114/a BED B 537-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-114-b-bed-b-548-1	fam-raw-iob2-114-b-bed-b-548-1	iob2 114 b bed b 548 1								latin	unknown	IOB2-114/b BED B 548-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-115-bed-b-549-1	fam-raw-iob2-115-bed-b-549-1	iob2 115 bed b 549 1								latin	unknown	IOB2-115 BED B 549-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-116-bed-b-559-1	fam-raw-iob2-116-bed-b-559-1	iob2 116 bed b 559 1								latin	unknown	IOB2-116 BED B 559-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-117-a	fam-raw-iob2-117-a	IOB2-117/a								latin	unknown	IOB2-117/a	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-117-b-bed-b-560-5	fam-raw-iob2-117-b-bed-b-560-5	iob2 117 b bed b 560 5								latin	unknown	IOB2-117/b BED B 560-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-118-a-bed-b-570-2	fam-raw-iob2-118-a-bed-b-570-2	iob2 118 a bed b 570 2								latin	unknown	IOB2-118/a BED B 570-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-119-a-bed-b-577-5	fam-raw-iob2-119-a-bed-b-577-5	iob2 119 a bed b 577 5								latin	unknown	IOB2-119/a BED B 577-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-119-b-bed-b-591-8	fam-raw-iob2-119-b-bed-b-591-8	iob2 119 b bed b 591 8								latin	unknown	IOB2-119/b BED B 591-8	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-120-a-bed-b-579-8	fam-raw-iob2-120-a-bed-b-579-8	iob2 120 a bed b 579 8								latin	unknown	IOB2-120/a BED B 579-8	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-120-b	fam-raw-iob2-120-b	IOB2-120/b								latin	unknown	IOB2-120/b	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-121-a-bed-b-581-1	fam-raw-iob2-121-a-bed-b-581-1	iob2 121 a bed b 581 1								latin	unknown	IOB2-121/a BED B 581-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-121-b-bed-b-586-2	fam-raw-iob2-121-b-bed-b-586-2	iob2 121 b bed b 586 2								latin	unknown	IOB2-121/b BED B 586-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-122-a-bed-b-587-1	fam-raw-iob2-122-a-bed-b-587-1	iob2 122 a bed b 587 1								latin	unknown	IOB2-122/a BED B 587-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-122-b-bed-b-587-8	fam-raw-iob2-122-b-bed-b-587-8	iob2 122 b bed b 587 8								latin	unknown	IOB2-122/b BED B 587-8	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-123-bed-b-587-4	fam-raw-iob2-123-bed-b-587-4	iob2 123 bed b 587 4								latin	unknown	IOB2-123 BED B 587-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-125-a-bed-b-591-1	fam-raw-iob2-125-a-bed-b-591-1	iob2 125 a bed b 591 1								latin	unknown	IOB2-125/a BED B 591-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-125-b-bed-b-580-1	fam-raw-iob2-125-b-bed-b-580-1	iob2 125 b bed b 580 1								latin	unknown	IOB2-125/b BED B 580-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-126-a-bed-b-592-1	fam-raw-iob2-126-a-bed-b-592-1	iob2 126 a bed b 592 1								latin	unknown	IOB2-126/a BED B 592-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-126-b-bed-b-592-2	fam-raw-iob2-126-b-bed-b-592-2	iob2 126 b bed b 592 2								latin	unknown	IOB2-126/b BED B 592-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-127-a-bed-b-597-2	fam-raw-iob2-127-a-bed-b-597-2	iob2 127 a bed b 597 2								latin	unknown	IOB2-127/a BED B 597-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-127-b-bed-b-597-1	fam-raw-iob2-127-b-bed-b-597-1	iob2 127 b bed b 597 1								latin	unknown	IOB2-127/b BED B 597-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-128-bed-b-597-6	fam-raw-iob2-128-bed-b-597-6	iob2 128 bed b 597 6								latin	unknown	IOB2-128 BED B 597-6	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-128-bed-b-597-7	fam-raw-iob2-128-bed-b-597-7	iob2 128 bed b 597 7								latin	unknown	IOB2-128 BED B 597-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-128-bed-b-597-8	fam-raw-iob2-128-bed-b-597-8	iob2 128 bed b 597 8								latin	unknown	IOB2-128 BED B 597-8	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-129-bed-b-600-9	fam-raw-iob2-129-bed-b-600-9	iob2 129 bed b 600 9								latin	unknown	IOB2-129 BED B 600-9	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-130-bed-b-600-3	fam-raw-iob2-130-bed-b-600-3	iob2 130 bed b 600 3								latin	unknown	IOB2-130 BED B 600-3	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-131-a-bed-b-600-4	fam-raw-iob2-131-a-bed-b-600-4	iob2 131 a bed b 600 4								latin	unknown	IOB2-131/a BED B 600-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-131-b-bed-b-600-5	fam-raw-iob2-131-b-bed-b-600-5	iob2 131 b bed b 600 5								latin	unknown	IOB2-131/b BED B 600-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-132-a-bed-b-600-6	fam-raw-iob2-132-a-bed-b-600-6	iob2 132 a bed b 600 6								latin	unknown	IOB2-132/a BED B 600-6	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-132-b-bed-b-601-2	fam-raw-iob2-132-b-bed-b-601-2	iob2 132 b bed b 601 2								latin	unknown	IOB2 132/b BED B 601-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-133-bed-b-601-4	fam-raw-iob2-133-bed-b-601-4	iob2 133 bed b 601 4								latin	unknown	IOB2-133 BED B 601-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-134-a	fam-raw-iob2-134-a	IOB2-134/a								latin	unknown	IOB2-134/a	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-134-b-bed-b-593-5	fam-raw-iob2-134-b-bed-b-593-5	iob2 134 b bed b 593 5								latin	unknown	IOB2-134/b BED B 593-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-135-a-bed-b-600-7	fam-raw-iob2-135-a-bed-b-600-7	iob2 135 a bed b 600 7								latin	unknown	IOB2-135/a BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-135-b-bed-b-600-7	fam-raw-iob2-135-b-bed-b-600-7	iob2 135 b bed b 600 7								latin	unknown	IOB2-135/b BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-137-bed-b-600-7	fam-raw-iob2-137-bed-b-600-7	iob2 137 bed b 600 7								latin	unknown	IOB2-137 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-138-bed-b-603-3	fam-raw-iob2-138-bed-b-603-3	iob2 138 bed b 603 3								latin	unknown	IOB2-138 BED B 603-3	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-139-bed-b-603-5	fam-raw-iob2-139-bed-b-603-5	iob2 139 bed b 603 5								latin	unknown	IOB2-139 BED B 603-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-140-a-bed-b-604-1	fam-raw-iob2-140-a-bed-b-604-1	iob2 140 a bed b 604 1								latin	unknown	IOB2 140/a BED B 604-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-140-b-bed-b-571-2	fam-raw-iob2-140-b-bed-b-571-2	iob2 140 b bed b 571 2								latin	unknown	IOB2-140/b BED B 571-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-141-bed-b-604-7	fam-raw-iob2-141-bed-b-604-7	iob2 141 bed b 604 7								latin	unknown	IOB2 141/ BED B 604-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-141-bed-b-604-8	fam-raw-iob2-141-bed-b-604-8	iob2 141 bed b 604 8								latin	unknown	IOB2 141/ BED B 604-8	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-143-a-bed-b-571-2	fam-raw-iob2-143-a-bed-b-571-2	iob2 143 a bed b 571 2								latin	unknown	IOB2-143/a BED B 571-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-143-b-bed-b-571-2	fam-raw-iob2-143-b-bed-b-571-2	iob2 143 b bed b 571 2								latin	unknown	IOB2-143/b BED B 571-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-144-bed-b-571-2	fam-raw-iob2-144-bed-b-571-2	iob2 144 bed b 571 2								latin	unknown	IOB2-144 BED B 571-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-145-bed-b-604-3	fam-raw-iob2-145-bed-b-604-3	iob2 145 bed b 604 3								latin	unknown	IOB2-145 BED B 604-3	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-146-bed-b-604-4	fam-raw-iob2-146-bed-b-604-4	iob2 146 bed b 604 4								latin	unknown	IOB2-146 BED B 604-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-147-a-bed-b-604-5	fam-raw-iob2-147-a-bed-b-604-5	iob2 147 a bed b 604 5								latin	unknown	IOB2-147/a BED B 604-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-147-bed-b-601-2	fam-raw-iob2-147-bed-b-601-2	iob2 147 bed b 601 2								latin	unknown	IOB2-147/ BED B 601-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-149-bed-b-604-10	fam-raw-iob2-149-bed-b-604-10	iob2 149 bed b 604 10								latin	unknown	IOB2-149 BED B 604-10	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-150-bed-b-601-4	fam-raw-iob2-150-bed-b-601-4	iob2 150 bed b 601 4								latin	unknown	IOB2-150 BED B 601-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-151-bed-b-601-4	fam-raw-iob2-151-bed-b-601-4	iob2 151 bed b 601 4								latin	unknown	IOB2-151 BED B 601-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-152-bed-b-601-4	fam-raw-iob2-152-bed-b-601-4	iob2 152 bed b 601 4								latin	unknown	IOB2-152 BED B 601-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-153-a-bed-b-601-4	fam-raw-iob2-153-a-bed-b-601-4	iob2 153 a bed b 601 4								latin	unknown	IOB2-153/a BED B 601-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-153-b-bed-b-601-4	fam-raw-iob2-153-b-bed-b-601-4	iob2 153 b bed b 601 4								latin	unknown	IOB2-153/b BED B 601-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-154-iob3-340-bed-b-601-4	fam-raw-iob2-154-iob3-340-bed-b-601-4	iob2 154 iob3 340 bed b 601 4								latin	unknown	IOB2-154 & IOB3-340 BED B 601-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-155-bed-b-601-4	fam-raw-iob2-155-bed-b-601-4	iob2 155 bed b 601 4								latin	unknown	IOB2-155 BED B 601-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-156-bed-b-607-1	fam-raw-iob2-156-bed-b-607-1	iob2 156 bed b 607 1								latin	unknown	IOB2-156 BED B 607-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-157-bed-b-607-2	fam-raw-iob2-157-bed-b-607-2	iob2 157 bed b 607 2								latin	unknown	IOB2-157 BED B 607-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-158-bed-b-607-6	fam-raw-iob2-158-bed-b-607-6	iob2 158 bed b 607 6								latin	unknown	IOB2-158 BED B 607-6	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-159	fam-raw-iob2-159	IOB2-159								latin	unknown	IOB2-159	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-160-a-bed-b-609-1	fam-raw-iob2-160-a-bed-b-609-1	iob2 160 a bed b 609 1								latin	unknown	IOB2-160/a BED B 609-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-161-a-bed-b-622-4	fam-raw-iob2-161-a-bed-b-622-4	iob2 161 a bed b 622 4								latin	unknown	IOB2-161/a BED B 622-4	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-161-b-bed-b-593-5	fam-raw-iob2-161-b-bed-b-593-5	iob2 161 b bed b 593 5								latin	unknown	IOB2-161/b BED B 593-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-162-bed-b-610-2	fam-raw-iob2-162-bed-b-610-2	iob2 162 bed b 610 2								latin	unknown	IOB2-162 BED B 610-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-163-bed-b-593-5	fam-raw-iob2-163-bed-b-593-5	iob2 163 bed b 593 5								latin	unknown	IOB2-163 BED B 593-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-164-bed-b-593-5	fam-raw-iob2-164-bed-b-593-5	iob2 164 bed b 593 5								latin	unknown	IOB2-164 BED B 593-5	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-165-a-bed-b-600-7	fam-raw-iob2-165-a-bed-b-600-7	iob2 165 a bed b 600 7								latin	unknown	IOB2-165/a BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-165-b-bed-b-600-7	fam-raw-iob2-165-b-bed-b-600-7	iob2 165 b bed b 600 7								latin	unknown	IOB2-165/b BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-166-a-bed-b-600-7	fam-raw-iob2-166-a-bed-b-600-7	iob2 166 a bed b 600 7								latin	unknown	IOB2-166/a BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-166-b-bed-b-600-7	fam-raw-iob2-166-b-bed-b-600-7	iob2 166 b bed b 600 7								latin	unknown	IOB2-166/b BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-167-bed-b-600-7	fam-raw-iob2-167-bed-b-600-7	iob2 167 bed b 600 7								latin	unknown	IOB2 167 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-168-bed-b-600-7	fam-raw-iob2-168-bed-b-600-7	iob2 168 bed b 600 7								latin	unknown	IOB2-168 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-169-bed-b-600-7	fam-raw-iob2-169-bed-b-600-7	iob2 169 bed b 600 7								latin	unknown	IOB2-169 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-170-bed-b-600-7	fam-raw-iob2-170-bed-b-600-7	iob2 170 bed b 600 7								latin	unknown	IOB2-170 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-171-bed-b-600-7	fam-raw-iob2-171-bed-b-600-7	iob2 171 bed b 600 7								latin	unknown	IOB2-171 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-172-bed-b-600-7	fam-raw-iob2-172-bed-b-600-7	iob2 172 bed b 600 7								latin	unknown	IOB2-172 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-173-bed-b-604-2	fam-raw-iob2-173-bed-b-604-2	iob2 173 bed b 604 2								latin	unknown	IOB2-173 BED B 604-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-174-bed-b-600-7	fam-raw-iob2-174-bed-b-600-7	iob2 174 bed b 600 7								latin	unknown	IOB2-174 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-175-bed-b-600-7	fam-raw-iob2-175-bed-b-600-7	iob2 175 bed b 600 7								latin	unknown	IOB2-175 BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-176-a-bed-b-600-7	fam-raw-iob2-176-a-bed-b-600-7	iob2 176 a bed b 600 7								latin	unknown	IOB2-176/a BED B 600-7	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-176-b-bed-b-602-1	fam-raw-iob2-176-b-bed-b-602-1	iob2 176 b bed b 602 1								latin	unknown	IOB2-176/b BED B 602-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-177-a-bed-b-613-2	fam-raw-iob2-177-a-bed-b-613-2	iob2 177 a bed b 613 2								latin	unknown	IOB2-177/a BED B 613-2	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-177-b-bed-b-602-1	fam-raw-iob2-177-b-bed-b-602-1	iob2 177 b bed b 602 1								latin	unknown	IOB2 177/b BED B 602-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-178-bed-b-513-1	fam-raw-iob2-178-bed-b-513-1	iob2 178 bed b 513 1								latin	unknown	IOB2-178 BED B 513-1	unreviewed	No stronger conservative family signal was detected.
work-raw-iob2-180-bed-b-622-6	fam-raw-iob2-180-bed-b-622-6	iob2 180 bed b 622 6								latin	unknown	IOB2-180 BED B 622-6	unreviewed	No stronger conservative family signal was detected.
